20150628 12:02:49 INFO UpdateChecker.doCheck(86) | New Quartz update(s) found: 2.1.7 [http://www.terracotta.org/kit/reflector?kitID=default&pageID=QuartzChangeLog]
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/index.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.LoginController.index(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/login.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.LoginController.login(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/logout.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.LoginController.logout(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/common/login1.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.LoginController.login1(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/welcome.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.LoginController.welcome(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/doModifyPassword.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.core.web.LoginController.doModifyPassword(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/modifyPassword.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.LoginController.modifyPassword(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/page/{pagePath}/{pageId}.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.controller.PageController.index(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/scripts/page/{pageId}.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.controller.ScriptController.index(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/scripts/page/genTestPagerRecords.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.controller.ScriptController.genTestPagerRecords(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/webexport/{type}.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.controller.WebExportController.export(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.DataIn<?>,java.lang.String) throws java.lang.Exception
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/common/loginFailed.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.core.web.data.CommonData.loginFailed(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/common/loginSuccess.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.core.web.data.CommonData.loginSuccess(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/common/accessDenied.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.core.web.data.CommonData.accessDenied(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/common/changeDecorator.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.core.web.data.CommonData.changeDecorator(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/errorpage/{errorCode}.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.gsoft.framework.core.web.ErrorPageContorller.index(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/agency/getChildren.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.AgencyData.getChildren(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/agency/getPagerAgencys.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.AgencyData.getPagerAgencys(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.agt.entity.Agency>,com.gsoft.framework.security.agt.entity.Agency,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/agency/removeAgencys.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.AgencyData.removeAgencys(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/agency/getAgency.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.AgencyData.getAgency(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/agency/removeAgency.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.AgencyData.removeAgency(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/agency/getAgencys.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.AgencyData.getAgencys(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.agt.entity.Agency>,com.gsoft.framework.security.agt.entity.Agency,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/agency/saveAgency.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.AgencyData.saveAgency(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.agt.entity.Agency>,com.gsoft.framework.security.agt.entity.Agency,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/user/getUser.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.UserData.getUser(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/user/getPagerUsers.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.UserData.getPagerUsers(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.agt.entity.User>,com.gsoft.framework.security.agt.entity.User,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/user/saveUser.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.UserData.saveUser(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.agt.entity.User>,com.gsoft.framework.security.agt.entity.User,org.springframework.validation.BindingResult)
